pass,target_fps,offered_fps_real,impl,cpu_ms,cpu_pct,delivered,unique,lost,corrupt,duplicate,reordered,seconds,fps,loss_pct,jitter_ms
1,750,750.0,asio,715.9,14.3,3750,3750,0,0,0,0,4.99805,750.092,0,0.270615
1,800,800.0,asio,762.3,15.3,4000,4000,0,0,0,0,4.9982,800.088,0,0.247048
1,850,850.0,asio,829.7,16.6,4250,4250,0,0,0,0,4.99827,850.094,0,0.219579
1,900,900.0,asio,847.3,17.0,4500,4500,0,0,0,0,4.99849,900.072,0,0.316638
1,950,950.0,asio,893.5,17.9,4748,4748,2,0,0,0,4.99754,949.868,0.0421053,0.291985
1,1000,999.9,asio,859.1,17.2,5000,5000,0,0,0,0,4.99847,1000.11,0,0.208797
1,1050,1050.0,asio,926.2,18.5,5249,5249,1,0,0,0,4.99873,1049.87,0.0190476,0.242487
1,1100,1100.0,asio,991.1,19.8,5488,5488,12,0,0,0,4.99886,1097.65,0.218182,0.300939
1,1150,1149.9,asio,1016.4,20.3,5729,5729,19,0,0,0,4.99896,1145.84,0.33055,0.424679
1,1200,1200.0,asio,1044.3,20.9,5945,5945,55,0,0,0,4.99843,1189.17,0.916667,0.34478
1,1250,1250.0,asio,1093.8,21.9,6215,6215,35,0,0,0,4.99876,1243.11,0.56,0.282628
1,1300,1299.9,asio,1284.0,25.7,6452,6452,48,0,0,0,4.9987,1290.54,0.738462,0.273069
1,1350,1349.9,asio,1306.2,26.1,6670,6670,80,0,0,0,4.99842,1334.22,1.18519,0.279928
1,1400,1399.9,asio,1194.8,23.9,6867,6867,133,0,0,0,4.99886,1373.51,1.9,0.370129
1,1450,1450.0,asio,1265.2,25.3,7043,7043,207,0,0,0,4.99829,1408.88,2.85517,0.327113
2,750,750.0,asio,692.9,13.9,3750,3750,0,0,0,0,4.99811,750.084,0,0.204091
2,800,800.0,asio,744.9,14.9,4000,4000,0,0,0,0,4.99842,800.053,0,0.357382
2,850,850.0,asio,740.6,14.8,4250,4250,0,0,0,0,4.99862,850.034,0,0.288398
2,900,900.0,asio,804.4,16.1,4500,4500,0,0,0,0,4.99879,900.017,0,0.312495
2,950,950.0,asio,884.7,17.7,4750,4750,0,0,0,0,4.99873,950.042,0,0.266488
2,1000,1000.0,asio,879.6,17.6,4994,4994,6,0,0,0,4.99834,998.932,0.12,0.298212
2,1050,1050.0,asio,919.7,18.4,5244,5244,6,0,0,0,4.99846,1048.92,0.114286,0.258466
2,1100,1100.0,asio,966.2,19.3,5494,5494,6,0,0,0,4.99832,1098.97,0.109091,0.202116
2,1150,1150.0,asio,1067.4,21.4,5732,5732,18,0,0,0,4.99852,1146.54,0.313043,0.204665
2,1200,1200.0,asio,1162.1,23.2,5982,5982,18,0,0,0,4.99846,1196.57,0.3,0.294059
2,1250,1250.0,asio,1096.6,21.9,6208,6208,42,0,0,0,4.99804,1241.89,0.672,0.297805
2,1300,1300.0,asio,1188.4,23.8,6419,6419,81,0,0,0,4.99836,1284.02,1.24615,0.344468
2,1350,1350.0,asio,1253.7,25.1,6619,6619,131,0,0,0,5.00044,1323.48,1.94074,0.354223
2,1400,1400.0,asio,1207.9,24.2,6874,6874,126,0,0,0,4.99844,1375.03,1.8,0.261789
2,1450,1450.0,asio,1264.7,25.3,7063,7063,187,0,0,0,4.99881,1412.74,2.57931,0.343348
3,750,750.0,asio,743.8,14.9,3750,3750,0,0,0,0,5.00362,749.258,0,0.272126
3,800,800.0,asio,753.9,15.1,4000,4000,0,0,0,0,4.99808,800.107,0,0.239625
3,850,850.0,asio,781.3,15.6,4250,4250,0,0,0,0,4.99846,850.061,0,0.278294
3,900,900.0,asio,783.2,15.7,4500,4500,0,0,0,0,4.99835,900.097,0,0.300292
3,950,950.0,asio,1005.5,20.1,4749,4749,1,0,0,0,4.99813,949.956,0.0210526,0.266482
3,1000,1000.0,asio,871.9,17.4,4998,4998,2,0,0,0,4.99884,999.633,0.04,0.248019
3,1050,1050.0,asio,931.2,18.6,5245,5245,5,0,0,0,4.99796,1049.23,0.0952381,0.349254
3,1100,1100.0,asio,966.4,19.3,5495,5495,5,0,0,0,4.99798,1099.24,0.0909091,0.373864
3,1150,1150.0,asio,1039.4,20.8,5737,5737,13,0,0,0,4.99853,1147.54,0.226087,0.168531
3,1200,1200.0,asio,1041.6,20.8,5980,5980,20,0,0,0,4.9988,1196.09,0.333333,0.235014
3,1250,1249.9,asio,1079.0,21.6,6212,6212,38,0,0,0,4.9985,1242.57,0.608,0.232778
3,1300,1299.9,asio,1127.8,22.6,6448,6448,52,0,0,0,4.99884,1289.7,0.8,0.356926
3,1350,1349.9,asio,1152.7,23.1,6665,6665,85,0,0,0,4.99874,1333.14,1.25926,0.33507
3,1400,1400.0,asio,1223.6,24.5,6840,6840,160,0,0,0,4.99868,1368.16,2.28571,0.363146
