pass,target_fps,offered_fps_real,impl,cpu_ms,cpu_pct,delivered,unique,lost,corrupt,duplicate,reordered,seconds,fps,loss_pct,jitter_ms
1,750,750.0,baseline,714.1,14.3,3750,3750,0,0,0,0,4.99794,750.108,0,0.229751
1,800,800.0,baseline,787.3,15.8,4000,4000,0,0,0,0,4.99805,800.111,0,0.368088
1,850,850.0,baseline,774.1,15.5,4250,4250,0,0,0,0,4.99836,850.078,0,0.20817
1,900,900.0,baseline,720.2,14.4,4500,4500,0,0,0,0,4.99846,900.077,0,0.338606
1,950,950.0,baseline,754.4,15.1,4750,4750,0,0,0,0,4.99912,949.967,0,0.309654
1,1000,1000.0,baseline,807.3,16.1,4999,4999,1,0,0,0,4.99933,999.734,0.02,0.332269
1,1050,1050.0,baseline,975.8,19.5,5248,5248,2,0,0,0,4.99873,1049.67,0.0380952,0.286266
1,1100,1100.0,baseline,1185.2,23.7,5481,5481,19,0,0,0,4.99543,1097,0.345455,0.40907
1,1150,1150.0,baseline,986.4,19.7,5731,5731,19,0,0,1,4.99889,1146.25,0.330435,0.317121
1,1200,1200.0,baseline,1090.0,21.8,5975,5975,25,0,0,0,5.00065,1194.64,0.416667,0.352147
1,1250,1250.0,baseline,1066.1,21.3,6223,6223,27,0,0,1,4.9987,1244.72,0.432,0.351244
1,1300,1300.0,baseline,1071.5,21.4,6473,6473,27,0,0,0,4.99913,1294.63,0.415385,0.386058
1,1350,1350.0,baseline,1303.3,26.1,6590,6590,160,0,0,0,4.99943,1317.95,2.37037,0.310178
1,1400,1400.0,baseline,1135.4,22.7,6892,6892,108,0,0,0,4.99882,1378.53,1.54286,0.298769
1,1450,1450.0,baseline,1168.9,23.4,7075,7075,175,0,0,1,4.99859,1415.2,2.41379,0.308845
2,750,750.0,baseline,658.5,13.2,3750,3750,0,0,0,0,4.99824,750.064,0,0.358229
2,800,800.0,baseline,694.6,13.9,4000,4000,0,0,0,0,4.99852,800.036,0,0.377349
2,850,849.9,baseline,805.8,16.1,4250,4250,0,0,0,0,4.99821,850.104,0,0.320954
2,900,900.0,baseline,886.2,17.7,4500,4500,0,0,0,0,4.99821,900.123,0,0.38975
2,950,950.0,baseline,805.6,16.1,4750,4750,0,0,0,0,4.99798,950.184,0,0.338318
2,1000,1000.0,baseline,834.3,16.7,5000,5000,0,0,0,0,4.99857,1000.09,0,0.274294
2,1050,1050.0,baseline,997.0,19.9,5246,5246,4,0,0,0,4.99859,1049.3,0.0761905,0.383179
2,1100,1100.0,baseline,916.5,18.3,5493,5493,7,0,0,0,4.99854,1098.72,0.127273,0.295222
2,1150,1150.0,baseline,929.8,18.6,5734,5734,16,0,0,0,4.99879,1146.88,0.278261,0.313428
2,1200,1200.0,baseline,1072.6,21.5,5992,5992,8,0,0,0,4.9991,1198.42,0.133333,0.314887
2,1250,1250.0,baseline,1018.1,20.4,6235,6235,15,0,0,2,4.99867,1247.13,0.24,0.327764
2,1300,1300.0,baseline,1018.0,20.4,6494,6494,6,0,0,2,4.99868,1298.94,0.0923077,0.285216
2,1350,1350.0,baseline,1058.5,21.2,6719,6719,31,0,0,0,4.99859,1343.98,0.459259,0.362984
2,1400,1400.0,baseline,1065.2,21.3,6967,6967,33,0,0,1,4.9989,1393.51,0.471429,0.289049
2,1450,1450.0,baseline,1131.8,22.6,7131,7131,119,0,0,1,4.99881,1426.34,1.64138,0.348152
3,750,750.0,baseline,602.9,12.1,3750,3750,0,0,0,0,4.99828,750.059,0,0.315062
3,800,800.0,baseline,628.6,12.6,4000,4000,0,0,0,0,4.99828,800.076,0,0.317598
3,850,850.0,baseline,686.5,13.7,4250,4250,0,0,0,0,4.99819,850.108,0,0.347132
3,900,900.0,baseline,721.7,14.4,4500,4500,0,0,0,0,4.99817,900.129,0,0.317898
3,950,950.0,baseline,743.1,14.9,4750,4750,0,0,0,1,4.99832,950.119,0,0.27715
3,1000,1000.0,baseline,898.2,18.0,4998,4998,2,0,0,1,4.99838,999.724,0.04,0.229627
3,1050,1050.0,baseline,839.7,16.8,5247,5247,3,0,0,0,4.99892,1049.43,0.0571429,0.344843
3,1100,1100.0,baseline,867.8,17.4,5488,5488,12,0,0,0,4.9987,1097.69,0.218182,0.258054
3,1150,1149.9,baseline,888.9,17.8,5733,5733,17,0,0,0,4.99874,1146.69,0.295652,0.246939
3,1200,1200.0,baseline,949.5,19.0,5982,5982,18,0,0,0,4.99893,1196.46,0.3,0.301426
3,1250,1249.9,baseline,989.5,19.8,6228,6228,16,0,0,0,4.99656,1246.26,0.256246,0.277351
3,1300,1300.0,baseline,1008.4,20.2,6462,6462,38,0,0,1,4.99851,1292.59,0.584615,0.221943
3,1350,1350.0,baseline,1156.2,23.1,6697,6697,53,0,0,0,4.99866,1339.56,0.785185,0.30707
3,1400,1400.0,baseline,1103.6,22.1,6925,6925,75,0,0,0,4.99872,1385.15,1.07143,0.296654
3,1450,1450.0,baseline,1161.2,23.2,7119,7119,131,0,0,0,4.99889,1423.92,1.8069,0.316986
4,750,750.0,baseline,618.5,12.4,3750,3750,0,0,0,0,4.99784,750.123,0,0.306852
4,800,800.0,baseline,661.2,13.2,4000,4000,0,0,0,0,4.99836,800.063,0,0.273075
4,850,850.0,baseline,809.5,16.2,4250,4250,0,0,0,0,4.99901,849.968,0,0.332115
4,900,900.0,baseline,734.3,14.7,4500,4500,0,0,0,0,4.99843,900.083,0,0.337422
4,950,949.9,baseline,900.9,18.0,4750,4750,0,0,0,0,4.99868,950.051,0,0.353812
4,1000,1000.0,baseline,934.0,18.7,4998,4998,2,0,0,0,4.99817,999.766,0.04,0.260602
4,1050,1050.0,baseline,858.5,17.2,5247,5247,3,0,0,0,4.99865,1049.48,0.0571429,0.319801
4,1100,1099.9,baseline,968.2,19.4,5495,5495,5,0,0,0,4.99847,1099.14,0.0909091,0.362199
4,1150,1150.0,baseline,1004.2,20.1,5737,5737,13,0,0,0,4.99846,1147.55,0.226087,0.355073
4,1200,1200.0,baseline,963.9,19.3,5982,5982,18,0,0,0,4.99866,1196.52,0.3,0.285544
4,1250,1249.9,baseline,1027.9,20.6,6214,6214,36,0,0,0,5.00013,1242.57,0.576,0.329053
4,1300,1300.0,baseline,1029.3,20.6,6481,6481,19,0,0,0,4.99866,1296.35,0.292308,0.308266
4,1350,1350.0,baseline,1061.5,21.2,6706,6706,44,0,0,0,4.99869,1341.35,0.651852,0.343755
4,1400,1400.0,baseline,1084.2,21.7,6954,6954,46,0,0,0,4.99868,1390.97,0.657143,0.193247
