pass,offered_fps_agg,impl,streams,cpu_ms,cpu_pct,delivered,lost,corrupt,fps,loss_pct,jitter_ms
1,7680,baseline_mt,128,3304.9,66.2,33251,0,0,7675.9,0.0000,1.6578
2,7680,baseline_mt,128,3372.1,67.5,34461,0,0,7678.4,0.0000,1.7897
3,7680,baseline_mt,128,3229.7,64.7,34316,0,0,7674.8,0.0000,1.8250
4,7680,baseline_mt,128,3150.3,63.1,31855,1,0,7674.4,0.0031,1.7707
5,7680,baseline_mt,128,3560.5,71.3,34345,0,0,7677.7,0.0000,1.7728
6,7680,baseline_mt,128,3243.6,65.0,34316,0,0,7680.5,0.0000,2.0126
7,7680,baseline_mt,128,3082.3,61.7,32219,4,0,7675.0,0.0124,1.9121
8,7680,baseline_mt,128,3247.6,65.0,34463,0,0,7677.6,0.0000,1.6624
9,7680,baseline_mt,128,3297.3,66.0,33899,0,0,7678.7,0.0000,1.8340
10,7680,baseline_mt,128,3192.2,63.9,34302,0,0,7679.6,0.0000,1.8255
