pass,offered_fps_agg,impl,streams,cpu_ms,cpu_pct,delivered,lost,corrupt,fps,loss_pct,jitter_ms
1,60,baseline_mt,1,27.7,0.6,300,0,0,60.0,0.0000,0.1823
1,120,baseline_mt,2,56.3,1.1,600,0,0,120.0,0.0000,0.1987
1,240,baseline_mt,4,101.3,2.0,1200,0,0,240.0,0.0000,0.2268
1,480,baseline_mt,8,211.7,4.2,2400,0,0,480.0,0.0000,0.3151
1,960,baseline_mt,16,465.1,9.3,4800,0,0,960.1,0.0000,0.4319
1,1920,baseline_mt,32,1052.2,21.1,9583,0,0,1920.2,0.0000,0.4917
1,3840,baseline_mt,64,2204.9,44.2,18652,0,0,3840.6,0.0000,0.5922
1,7680,baseline_mt,128,4479.6,89.7,34305,0,0,7680.3,0.0000,0.8105
2,60,baseline_mt,1,28.1,0.6,300,0,0,60.0,0.0000,0.1976
2,120,baseline_mt,2,76.4,1.5,600,0,0,120.0,0.0000,0.2550
2,240,baseline_mt,4,100.9,2.0,1200,0,0,240.0,0.0000,0.2270
2,480,baseline_mt,8,213.4,4.3,2400,0,0,480.0,0.0000,0.3671
2,960,baseline_mt,16,470.3,9.4,4800,0,0,960.2,0.0000,0.5345
2,1920,baseline_mt,32,1037.6,20.8,9582,0,0,1920.1,0.0000,0.5574
2,3840,baseline_mt,64,2197.4,44.1,18568,0,0,3840.6,0.0000,0.5859
2,7680,baseline_mt,128,4270.5,85.6,33952,0,0,7679.8,0.0000,0.9742
3,60,baseline_mt,1,28.3,0.6,300,0,0,60.0,0.0000,0.1735
3,120,baseline_mt,2,53.7,1.1,600,0,0,120.0,0.0000,0.1493
3,240,baseline_mt,4,113.9,2.3,1200,0,0,240.0,0.0000,0.2923
3,480,baseline_mt,8,203.7,4.1,2400,0,0,480.0,0.0000,0.3093
3,960,baseline_mt,16,495.0,9.9,4800,0,0,960.3,0.0000,0.5069
3,1920,baseline_mt,32,1034.4,20.7,9574,0,0,1920.2,0.0000,0.5258
3,3840,baseline_mt,64,2243.5,45.0,18541,0,0,3840.1,0.0000,0.5671
3,7680,baseline_mt,128,4381.9,87.8,33787,0,0,7677.9,0.0000,0.8593
4,60,baseline_mt,1,28.9,0.6,300,0,0,60.0,0.0000,0.1936
4,120,baseline_mt,2,53.4,1.1,600,0,0,120.0,0.0000,0.1597
4,240,baseline_mt,4,101.0,2.0,1200,0,0,240.0,0.0000,0.1908
4,480,baseline_mt,8,211.3,4.2,2400,0,0,480.0,0.0000,0.2664
4,960,baseline_mt,16,463.4,9.3,4800,0,0,959.8,0.0000,0.4385
4,1920,baseline_mt,32,1022.9,20.5,9568,0,0,1920.1,0.0000,0.4792
4,3840,baseline_mt,64,2247.9,45.1,18530,0,0,3840.0,0.0000,0.6101
4,7680,baseline_mt,128,4473.3,89.6,34105,1,0,7678.1,0.0029,0.9259
5,60,baseline_mt,1,32.9,0.7,300,0,0,60.0,0.0000,0.2518
5,120,baseline_mt,2,72.8,1.5,600,0,0,120.0,0.0000,0.2865
5,240,baseline_mt,4,97.7,2.0,1200,0,0,240.0,0.0000,0.1733
5,480,baseline_mt,8,211.9,4.3,2400,0,0,480.1,0.0000,0.3553
5,960,baseline_mt,16,444.6,8.9,4800,0,0,960.5,0.0000,0.4448
5,1920,baseline_mt,32,999.4,20.0,9574,0,0,1920.1,0.0000,0.3989
5,3840,baseline_mt,64,2269.3,45.5,18557,0,0,3839.8,0.0000,0.6320
5,7680,baseline_mt,128,4475.3,89.7,34022,0,0,7679.1,0.0000,0.8627
6,60,baseline_mt,1,31.3,0.6,300,0,0,60.0,0.0000,0.2292
6,120,baseline_mt,2,53.8,1.1,600,0,0,120.0,0.0000,0.1667
6,240,baseline_mt,4,101.1,2.0,1200,0,0,240.1,0.0000,0.2174
6,480,baseline_mt,8,190.6,3.8,2400,0,0,479.9,0.0000,0.3373
6,960,baseline_mt,16,450.8,9.0,4800,0,0,960.0,0.0000,0.4655
6,1920,baseline_mt,32,983.6,19.7,9578,0,0,1920.0,0.0000,0.3728
6,3840,baseline_mt,64,2172.0,43.6,18572,0,0,3839.1,0.0000,0.6372
6,7680,baseline_mt,128,4287.1,85.9,33838,3,0,7677.2,0.0089,0.9536
7,60,baseline_mt,1,28.3,0.6,300,0,0,60.0,0.0000,0.2434
7,120,baseline_mt,2,53.3,1.1,600,0,0,120.0,0.0000,0.2437
