pass,offered_fps_agg,impl,streams,cpu_ms,cpu_pct,delivered,lost,corrupt,fps,loss_pct,jitter_ms
1,60,baseline_mt,1,27.2,0.5,300,0,0,60.0,0.0000,0.2633
1,120,baseline_mt,2,53.3,1.1,600,0,0,120.0,0.0000,0.1904
1,240,baseline_mt,4,96.9,1.9,1200,0,0,240.0,0.0000,0.2219
1,480,baseline_mt,8,193.8,3.9,2400,0,0,480.0,0.0000,0.2642
1,960,baseline_mt,16,469.6,9.4,4800,0,0,960.0,0.0000,0.7229
1,1920,baseline_mt,32,1012.6,20.3,9574,0,0,1920.3,0.0000,0.4984
1,3840,baseline_mt,64,2167.3,43.5,18583,0,0,3839.8,0.0000,0.5394
1,7680,baseline_mt,128,4300.9,86.2,33971,0,0,7678.9,0.0000,0.8970
2,60,baseline_mt,1,28.3,0.6,300,0,0,60.0,0.0000,0.1985
2,120,baseline_mt,2,56.7,1.1,600,0,0,120.0,0.0000,0.2141
2,240,baseline_mt,4,101.0,2.0,1200,0,0,240.0,0.0000,0.2083
2,480,baseline_mt,8,198.9,4.0,2400,0,0,480.0,0.0000,0.3078
2,960,baseline_mt,16,472.7,9.5,4800,0,0,960.4,0.0000,0.4575
2,1920,baseline_mt,32,996.5,20.0,9576,0,0,1920.0,0.0000,0.4686
2,3840,baseline_mt,64,2175.6,43.6,18568,1,0,3840.4,0.0054,0.5891
2,7680,baseline_mt,128,4280.7,85.7,33978,0,0,7676.3,0.0000,1.0109
3,60,baseline_mt,1,27.0,0.5,300,0,0,60.0,0.0000,0.2036
3,120,baseline_mt,2,54.4,1.1,600,0,0,120.0,0.0000,0.1930
3,240,baseline_mt,4,99.2,2.0,1200,0,0,240.1,0.0000,0.2444
3,480,baseline_mt,8,205.5,4.1,2400,0,0,480.1,0.0000,0.2840
3,960,baseline_mt,16,480.8,9.6,4800,0,0,960.5,0.0000,0.4444
3,1920,baseline_mt,32,1035.7,20.8,9569,0,0,1920.1,0.0000,0.3887
3,3840,baseline_mt,64,2244.8,45.0,18515,0,0,3840.2,0.0000,0.5634
3,7680,baseline_mt,128,4345.7,87.1,34081,0,0,7679.5,0.0000,0.9002
4,60,baseline_mt,1,28.4,0.6,300,0,0,60.0,0.0000,0.1572
4,120,baseline_mt,2,53.6,1.1,600,0,0,120.0,0.0000,0.1735
4,240,baseline_mt,4,99.0,2.0,1200,0,0,240.0,0.0000,0.1932
4,480,baseline_mt,8,220.6,4.4,2400,0,0,480.0,0.0000,0.2964
4,960,baseline_mt,16,483.7,9.7,4800,0,0,960.1,0.0000,0.5355
4,1920,baseline_mt,32,1022.8,20.5,9566,0,0,1919.9,0.0000,0.5917
4,3840,baseline_mt,64,2262.5,45.4,18523,0,0,3840.2,0.0000,0.6221
4,7680,baseline_mt,128,4328.6,86.7,33763,3,0,7679.0,0.0089,0.8080
5,60,baseline_mt,1,30.6,0.6,300,0,0,60.0,0.0000,0.1773
5,120,baseline_mt,2,60.1,1.2,600,0,0,120.0,0.0000,0.1639
5,240,baseline_mt,4,96.7,1.9,1200,0,0,240.0,0.0000,0.2122
5,480,baseline_mt,8,234.6,4.7,2400,0,0,480.0,0.0000,0.3397
5,960,baseline_mt,16,459.3,9.2,4800,0,0,960.0,0.0000,0.4893
5,1920,baseline_mt,32,999.8,20.1,9564,0,0,1920.0,0.0000,0.4892
5,3840,baseline_mt,64,2219.2,44.5,18521,0,0,3839.8,0.0000,0.5644
5,7680,baseline_mt,128,4510.5,90.4,33900,0,0,7678.6,0.0000,0.8499
6,60,baseline_mt,1,33.4,0.7,300,0,0,60.0,0.0000,0.2547
6,120,baseline_mt,2,54.6,1.1,600,0,0,120.0,0.0000,0.2530
6,240,baseline_mt,4,107.3,2.2,1200,0,0,240.0,0.0000,0.1915
6,480,baseline_mt,8,218.8,4.4,2400,0,0,480.0,0.0000,0.2639
6,960,baseline_mt,16,460.9,9.2,4800,0,0,960.1,0.0000,0.5472
6,1920,baseline_mt,32,973.3,19.5,9569,0,0,1920.3,0.0000,0.3700
6,3840,baseline_mt,64,2170.2,43.5,18557,0,0,3839.8,0.0000,0.5574
6,7680,baseline_mt,128,4431.9,88.8,33953,3,0,7679.1,0.0088,0.8515
7,60,baseline_mt,1,30.7,0.6,300,0,0,60.0,0.0000,0.2821
7,120,baseline_mt,2,54.8,1.1,600,0,0,120.0,0.0000,0.2263
7,240,baseline_mt,4,106.3,2.1,1200,0,0,240.0,0.0000,0.2299
7,480,baseline_mt,8,188.6,3.8,2400,0,0,480.0,0.0000,0.2933
7,960,baseline_mt,16,462.3,9.3,4800,0,0,960.0,0.0000,0.6039
7,1920,baseline_mt,32,952.5,19.1,9568,0,0,1920.4,0.0000,0.3359
7,3840,baseline_mt,64,2134.7,42.8,18520,0,0,3840.0,0.0000,0.5664
7,7680,baseline_mt,128,4293.4,86.0,33839,0,0,7677.4,0.0000,0.9323
8,60,baseline_mt,1,40.0,0.8,300,0,0,60.0,0.0000,0.2606
8,120,baseline_mt,2,62.6,1.3,600,0,0,120.0,0.0000,0.2312
8,240,baseline_mt,4,106.3,2.1,1200,0,0,240.0,0.0000,0.2089
8,480,baseline_mt,8,231.6,4.6,2400,0,0,480.1,0.0000,0.3344
8,960,baseline_mt,16,488.3,9.8,4800,0,0,960.2,0.0000,0.4959
8,1920,baseline_mt,32,1034.7,20.8,9568,0,0,1920.3,0.0000,0.5140
8,3840,baseline_mt,64,2226.1,44.6,18572,0,0,3839.8,0.0000,0.6296
8,7680,baseline_mt,128,4362.5,87.4,34039,3,0,7679.3,0.0088,0.8463
9,60,baseline_mt,1,30.9,0.6,300,0,0,60.0,0.0000,0.2293
9,120,baseline_mt,2,57.9,1.2,600,0,0,120.0,0.0000,0.2013
9,240,baseline_mt,4,101.8,2.0,1200,0,0,240.0,0.0000,0.2072
