pass,offered_fps_agg,impl,streams,cpu_ms,cpu_pct,delivered,lost,corrupt,fps,loss_pct,jitter_ms
1,60,asio_mux,1,36.3,0.7,300,0,0,60.0,0.0000,0.1795
1,120,asio_mux,2,56.0,1.1,600,0,0,120.0,0.0000,0.2120
1,240,asio_mux,4,100.6,2.0,1200,0,0,240.0,0.0000,0.2226
1,480,asio_mux,8,176.5,3.5,2400,0,0,480.2,0.0000,0.3303
1,960,asio_mux,16,387.7,7.8,4800,0,0,963.2,0.0000,0.5416
1,1920,asio_mux,32,804.4,16.7,9528,0,0,1973.0,0.0000,1.0364
1,3840,asio_mux,64,1444.2,32.8,17775,676,0,4024.3,3.6638,1.5216
1,7680,asio_mux,128,2264.8,66.1,27930,5734,0,8130.8,17.0330,2.0572
2,60,asio_mux,1,34.8,0.7,300,0,0,60.0,0.0000,0.1921
2,120,asio_mux,2,54.8,1.1,600,0,0,120.0,0.0000,0.2174
2,240,asio_mux,4,97.7,2.0,1200,0,0,240.0,0.0000,0.2597
2,480,asio_mux,8,182.0,3.7,2400,0,0,480.1,0.0000,0.3307
2,960,asio_mux,16,422.8,8.5,4800,0,0,960.7,0.0000,0.5637
2,1920,asio_mux,32,810.6,16.8,9542,0,0,1968.3,0.0000,0.9135
2,3840,asio_mux,64,1493.2,33.7,17848,664,0,4017.8,3.5869,1.4993
2,7680,asio_mux,128,2434.6,69.4,28597,5277,0,8122.2,15.5783,1.7411
3,60,asio_mux,1,35.1,0.7,300,0,0,60.0,0.0000,0.2474
3,120,asio_mux,2,53.9,1.1,600,0,0,120.0,0.0000,0.1843
3,240,asio_mux,4,89.3,1.8,1200,0,0,240.0,0.0000,0.1844
3,480,asio_mux,8,167.7,3.4,2400,0,0,480.1,0.0000,0.2834
3,960,asio_mux,16,384.1,7.7,4800,0,0,960.2,0.0000,0.4659
3,1920,asio_mux,32,793.7,16.3,9560,0,0,1959.9,0.0000,0.8750
3,3840,asio_mux,64,1492.9,33.7,17848,681,0,4016.6,3.6753,1.4863
3,7680,asio_mux,128,2397.3,68.7,28551,5343,0,8151.9,15.7639,1.8545
4,60,asio_mux,1,41.9,0.8,300,0,0,60.0,0.0000,0.2810
4,120,asio_mux,2,54.3,1.1,600,0,0,120.0,0.0000,0.1859
4,240,asio_mux,4,87.7,1.8,1200,0,0,240.0,0.0000,0.1795
4,480,asio_mux,8,189.0,3.8,2400,0,0,480.2,0.0000,0.3230
4,960,asio_mux,16,382.2,7.7,4800,0,0,960.6,0.0000,0.5446
4,1920,asio_mux,32,775.4,16.0,9544,0,0,1967.7,0.0000,0.9315
4,3840,asio_mux,64,1492.4,33.7,17847,661,0,4015.0,3.5714,1.4772
4,7680,asio_mux,128,2446.0,69.3,28805,5210,0,8130.5,15.3168,1.7499
5,60,asio_mux,1,33.4,0.7,300,0,0,60.0,0.0000,0.2796
5,120,asio_mux,2,70.3,1.4,600,0,0,120.0,0.0000,0.3454
5,240,asio_mux,4,93.0,1.9,1200,0,0,240.1,0.0000,0.2331
5,480,asio_mux,8,194.9,3.9,2400,0,0,480.0,0.0000,0.3813
5,960,asio_mux,16,374.9,7.5,4800,0,0,960.3,0.0000,0.4473
5,1920,asio_mux,32,779.5,16.1,9550,0,0,1964.7,0.0000,0.9041
5,3840,asio_mux,64,1492.6,33.5,17931,639,0,4014.7,3.4410,1.4926
