pass,offered_fps_agg,impl,streams,cpu_ms,cpu_pct,delivered,lost,corrupt,fps,loss_pct,jitter_ms
1,60,asio_pool,1,63.7,1.3,300,0,0,60.0,0.0000,0.1629
1,120,asio_pool,2,100.1,2.0,600,0,0,120.0,0.0000,0.1764
1,240,asio_pool,4,174.7,3.5,1200,0,0,240.0,0.0000,0.2390
1,480,asio_pool,8,317.9,6.4,2400,0,0,480.0,0.0000,0.3002
1,960,asio_pool,16,625.6,12.6,4800,0,0,960.3,0.0000,0.5207
1,1920,asio_pool,32,1099.3,22.7,9551,0,0,1963.5,0.0000,0.9238
1,3840,asio_pool,64,2050.9,46.1,17935,624,0,4021.6,3.3623,1.5551
1,7680,asio_pool,128,3350.5,94.3,29049,5028,0,8148.5,14.7548,1.8217
2,60,asio_pool,1,65.2,1.3,300,0,0,60.0,0.0000,0.2096
2,120,asio_pool,2,98.0,2.0,600,0,0,120.0,0.0000,0.2224
2,240,asio_pool,4,151.6,3.0,1200,0,0,240.0,0.0000,0.2164
2,480,asio_pool,8,298.4,6.0,2400,0,0,480.1,0.0000,0.2712
2,960,asio_pool,16,576.6,11.6,4800,0,0,960.4,0.0000,0.5658
2,1920,asio_pool,32,1096.1,22.5,9561,0,0,1959.1,0.0000,0.8333
2,3840,asio_pool,64,2074.6,46.5,17973,616,0,4017.3,3.3138,1.5352
2,7680,asio_pool,128,3325.7,95.6,28539,5344,0,8171.5,15.7719,1.8967
3,60,asio_pool,1,68.2,1.4,300,0,0,60.0,0.0000,0.2963
3,120,asio_pool,2,98.1,2.0,600,0,0,120.0,0.0000,0.2421
3,240,asio_pool,4,153.9,3.1,1200,0,0,240.0,0.0000,0.2207
3,480,asio_pool,8,306.9,6.2,2400,0,0,480.1,0.0000,0.3066
3,960,asio_pool,16,558.0,11.2,4800,0,0,960.3,0.0000,0.4503
3,1920,asio_pool,32,1022.6,21.0,9561,0,0,1959.5,0.0000,0.8335
3,3840,asio_pool,64,2003.2,45.0,17965,605,0,4023.3,3.2579,1.4935
3,7680,asio_pool,128,3220.5,93.5,28289,5554,0,8178.0,16.4111,1.9690
4,60,asio_pool,1,78.6,1.6,300,0,0,60.0,0.0000,0.2983
4,120,asio_pool,2,117.1,2.3,600,0,0,120.0,0.0000,0.3021
4,240,asio_pool,4,152.6,3.1,1200,0,0,240.1,0.0000,0.2266
4,480,asio_pool,8,295.1,5.9,2400,0,0,480.1,0.0000,0.3644
4,960,asio_pool,16,561.5,11.3,4800,0,0,960.1,0.0000,0.4867
4,1920,asio_pool,32,1018.3,21.1,9542,0,0,1967.8,0.0000,0.9153
4,3840,asio_pool,64,2008.9,45.3,17896,632,0,4025.7,3.4111,1.5053
4,7680,asio_pool,128,3255.0,92.6,28796,5157,0,8166.5,15.1886,1.8669
5,60,asio_pool,1,68.4,1.4,300,0,0,60.0,0.0000,0.1905
5,120,asio_pool,2,109.2,2.2,600,0,0,120.0,0.0000,0.2371
5,240,asio_pool,4,143.6,2.9,1200,0,0,240.0,0.0000,0.2397
5,480,asio_pool,8,286.6,5.8,2400,0,0,480.1,0.0000,0.3077
5,960,asio_pool,16,531.5,10.7,4800,0,0,960.2,0.0000,0.5030
5,1920,asio_pool,32,1078.2,22.2,9549,0,0,1965.8,0.0000,0.9959
5,3840,asio_pool,64,1990.1,44.9,17848,667,0,4018.6,3.6025,1.4760
5,7680,asio_pool,128,3177.6,91.8,28405,5295,0,8173.4,15.7122,1.9352
6,60,asio_pool,1,68.9,1.4,300,0,0,60.0,0.0000,0.1945
6,120,asio_pool,2,97.9,2.0,600,0,0,120.0,0.0000,0.1933
6,240,asio_pool,4,169.4,3.4,1200,0,0,240.0,0.0000,0.2454
6,480,asio_pool,8,282.2,5.7,2400,0,0,480.0,0.0000,0.3625
6,960,asio_pool,16,588.2,11.8,4800,0,0,960.5,0.0000,0.4489
6,1920,asio_pool,32,1090.6,22.4,9560,0,0,1959.3,0.0000,0.8306
6,3840,asio_pool,64,2053.9,46.3,17897,623,0,4020.1,3.3639,1.5284
6,7680,asio_pool,128,3259.9,92.3,28920,5085,0,8156.8,14.9537,1.8750
7,60,asio_pool,1,65.7,1.3,300,0,0,60.0,0.0000,0.1928
7,120,asio_pool,2,98.9,2.0,600,0,0,120.0,0.0000,0.1885
7,240,asio_pool,4,146.4,2.9,1200,0,0,240.0,0.0000,0.2142
7,480,asio_pool,8,270.9,5.4,2400,0,0,480.1,0.0000,0.2787
7,960,asio_pool,16,586.7,11.8,4800,0,0,960.4,0.0000,0.5812
7,1920,asio_pool,32,1121.8,23.1,9560,0,0,1960.1,0.0000,0.9883
7,3840,asio_pool,64,2084.6,46.9,17960,597,0,4025.1,3.2171,1.5826
7,7680,asio_pool,128,3299.3,93.8,28794,5156,0,8152.4,15.1870,1.9056
8,60,asio_pool,1,75.1,1.5,300,0,0,60.0,0.0000,0.2978
8,120,asio_pool,2,99.2,2.0,600,0,0,120.0,0.0000,0.2357
8,240,asio_pool,4,175.8,3.5,1200,0,0,240.1,0.0000,0.2958
8,480,asio_pool,8,291.3,5.8,2400,0,0,480.1,0.0000,0.3035
8,960,asio_pool,16,579.8,11.6,4800,0,0,960.4,0.0000,0.4965
8,1920,asio_pool,32,1079.1,22.2,9551,0,0,1963.2,0.0000,0.9462
8,3840,asio_pool,64,2068.0,46.5,17953,596,0,4023.7,3.2131,1.5268
8,7680,asio_pool,128,3283.0,93.9,28666,5240,0,8170.8,15.4545,1.9138
9,60,asio_pool,1,67.9,1.4,300,0,0,60.0,0.0000,0.1950
9,120,asio_pool,2,118.6,2.4,600,0,0,120.0,0.0000,0.2825
9,240,asio_pool,4,149.7,3.0,1200,0,0,240.0,0.0000,0.2688
9,480,asio_pool,8,276.5,5.5,2400,0,0,480.1,0.0000,0.2385
9,960,asio_pool,16,602.8,12.1,4800,0,0,960.3,0.0000,0.4841
9,1920,asio_pool,32,1063.1,21.7,9575,0,0,1951.1,0.0000,0.6852
9,3840,asio_pool,64,1978.6,44.6,17897,639,0,4024.7,3.4473,1.5105
9,7680,asio_pool,128,3259.8,93.8,28529,5289,0,8173.6,15.6396,1.8801
10,60,asio_pool,1,70.6,1.4,300,0,0,60.0,0.0000,0.2418
10,120,asio_pool,2,102.2,2.1,600,0,0,120.0,0.0000,0.2907
10,240,asio_pool,4,146.0,2.9,1200,0,0,240.0,0.0000,0.2759
10,480,asio_pool,8,257.8,5.2,2400,0,0,480.1,0.0000,0.2921
10,960,asio_pool,16,623.5,12.5,4800,0,0,960.4,0.0000,0.5836
10,1920,asio_pool,32,1107.5,22.8,9553,0,0,1963.1,0.0000,0.8968
10,3840,asio_pool,64,1965.2,44.1,17963,611,0,4022.5,3.2895,1.5488
10,7680,asio_pool,128,3240.3,92.8,28554,5380,0,8150.8,15.8543,1.8577
