pass,offered_fps_agg,impl,streams,cpu_ms,cpu_pct,delivered,lost,corrupt,fps,loss_pct,jitter_ms
1,60,asio_shard,1,35.7,0.7,300,0,0,60.0,0.0000,0.2139
1,120,asio_shard,2,66.4,1.3,600,0,0,120.0,0.0000,0.2268
1,240,asio_shard,4,128.1,2.6,1200,0,0,240.0,0.0000,0.3413
1,480,asio_shard,8,241.4,4.8,2400,0,0,480.2,0.0000,0.3192
1,960,asio_shard,16,490.1,9.8,4800,0,0,960.3,0.0000,0.4734
1,1920,asio_shard,32,1040.6,21.5,9551,0,0,1963.4,0.0000,0.9422
1,3840,asio_shard,64,1873.7,42.2,17947,597,0,4024.6,3.2194,1.5237
1,7680,asio_shard,128,3045.8,86.5,28903,5078,0,8173.1,14.9436,2.0128
2,60,asio_shard,1,33.1,0.7,300,0,0,60.0,0.0000,0.1921
2,120,asio_shard,2,67.9,1.4,600,0,0,120.0,0.0000,0.2246
2,240,asio_shard,4,119.3,2.4,1200,0,0,240.0,0.0000,0.1893
2,480,asio_shard,8,213.0,4.3,2400,0,0,480.0,0.0000,0.3223
2,960,asio_shard,16,478.0,9.6,4800,0,0,959.8,0.0000,0.6042
2,1920,asio_shard,32,1007.3,20.8,9551,0,0,1961.6,0.0000,0.8647
2,3840,asio_shard,64,1944.0,43.7,17955,596,0,4025.6,3.2128,1.5605
2,7680,asio_shard,128,3216.8,90.7,29047,4948,0,8155.3,14.5551,1.9569
3,60,asio_shard,1,41.0,0.8,300,0,0,60.0,0.0000,0.2443
3,120,asio_shard,2,77.0,1.5,600,0,0,120.0,0.0000,0.2527
3,240,asio_shard,4,108.4,2.2,1200,0,0,240.0,0.0000,0.1858
3,480,asio_shard,8,244.6,4.9,2400,0,0,480.0,0.0000,0.3048
3,960,asio_shard,16,501.2,10.1,4800,0,0,960.2,0.0000,0.4677
3,1920,asio_shard,32,1014.5,20.9,9553,0,0,1961.6,0.0000,0.8810
3,3840,asio_shard,64,1961.3,44.1,17946,603,0,4024.8,3.2508,1.5444
3,7680,asio_shard,128,3160.3,89.5,28919,5132,0,8153.0,15.0715,1.9634
4,60,asio_shard,1,34.8,0.7,300,0,0,60.0,0.0000,0.2164
4,120,asio_shard,2,67.2,1.3,600,0,0,120.0,0.0000,0.1981
4,240,asio_shard,4,112.8,2.3,1200,0,0,240.0,0.0000,0.2038
4,480,asio_shard,8,201.6,4.0,2400,0,0,480.0,0.0000,0.3114
4,960,asio_shard,16,474.1,9.5,4800,0,0,960.1,0.0000,0.6218
4,1920,asio_shard,32,985.1,20.3,9560,0,0,1959.8,0.0000,0.8389
4,3840,asio_shard,64,1994.0,44.5,18068,536,0,4022.3,2.8811,1.5965
4,7680,asio_shard,128,3269.3,92.6,28920,5122,0,8159.3,15.0461,1.9216
5,60,asio_shard,1,35.7,0.7,300,0,0,60.0,0.0000,0.1434
