pass,offered_fps_agg,impl,streams,cpu_ms,cpu_pct,delivered,lost,corrupt,fps,loss_pct,jitter_ms
1,60,asio_shard,1,48.8,1.0,300,0,0,60.0,0.0000,0.3586
1,120,asio_shard,2,83.4,1.7,600,0,0,120.0,0.0000,0.3301
1,240,asio_shard,4,112.0,2.2,1200,0,0,240.0,0.0000,0.2448
1,480,asio_shard,8,229.7,4.6,2400,0,0,480.1,0.0000,0.2968
1,960,asio_shard,16,488.2,9.8,4800,0,0,960.3,0.0000,0.4410
1,1920,asio_shard,32,1014.7,20.9,9559,0,0,1958.0,0.0000,0.8689
1,3840,asio_shard,64,1931.6,43.5,18556,0,0,4161.4,0.0000,2.3103
1,7680,asio_shard,128,3517.7,98.9,34088,0,0,9557.8,0.0000,4.4211
2,60,asio_shard,1,34.3,0.7,300,0,0,60.0,0.0000,0.2108
2,120,asio_shard,2,85.6,1.7,600,0,0,120.0,0.0000,0.2583
2,240,asio_shard,4,127.7,2.6,1200,0,0,240.0,0.0000,0.2631
2,480,asio_shard,8,244.2,4.9,2400,0,0,479.9,0.0000,0.3670
2,960,asio_shard,16,472.2,9.5,4800,0,0,960.4,0.0000,0.6077
2,1920,asio_shard,32,1007.6,20.7,9562,0,0,1958.0,0.0000,0.7996
2,3840,asio_shard,64,1902.0,42.7,18564,0,0,4158.4,0.0000,2.3286
2,7680,asio_shard,128,3391.3,97.1,33866,0,0,9663.5,0.0000,4.5350
3,60,asio_shard,1,35.9,0.7,300,0,0,60.0,0.0000,0.1514
3,120,asio_shard,2,67.7,1.4,600,0,0,120.0,0.0000,0.2507
3,240,asio_shard,4,113.6,2.3,1200,0,0,240.0,0.0000,0.2701
3,480,asio_shard,8,200.7,4.0,2400,0,0,480.0,0.0000,0.3139
3,960,asio_shard,16,482.5,9.7,4800,0,0,960.2,0.0000,0.5104
3,1920,asio_shard,32,1035.3,21.4,9550,0,0,1964.5,0.0000,0.9284
3,3840,asio_shard,64,1947.7,44.0,18527,0,0,4168.3,0.0000,2.3732
3,7680,asio_shard,128,3571.2,100.7,34087,0,0,9582.9,0.0000,4.4705
4,60,asio_shard,1,35.3,0.7,300,0,0,60.0,0.0000,0.2070
