t_s,fps,jitter_ms,completed,lost,corrupt
1,25,4.93704,25,0,0
2,26,2.50863,50,0,0
3,25,3.86476,75,0,0
4,26,4.9531,100,0,0
5,25,3.19519,125,0,0
6,26,5.94138,150,0,0
7,26,6.54369,175,0,0
8,25,3.4115,200,0,0
9,26,2.88095,225,0,0
10,25,4.65236,248,0,0
11,27,18.8381,275,0,0
12,25,4.00974,300,0,0
13,25,3.14091,325,0,0
14,26,3.67352,350,0,0
15,26,2.80394,375,0,0
16,25,5.42572,400,0,0
17,27,6.16628,425,0,0
18,26,2.69766,450,0,0
19,25,4.788,475,0,0
20,26,3.37304,500,0,0
21,25,4.37189,525,0,0
22,26,3.95886,550,0,0
23,26,6.53667,575,0,0
24,26,2.91645,599,0,0
25,26,5.89883,625,0,0
26,26,7.89555,650,0,0
27,26,3.63231,675,0,0
28,25,2.50454,700,0,0
29,26,4.25984,725,0,0
30,25,5.48531,750,0,0
31,26,5.84423,775,0,0
32,25,4.20794,800,0,0
33,25,5.2066,825,0,0
34,25,2.79713,850,0,0
35,25,3.59713,875,0,0
36,25,5.84637,900,0,0
37,26,3.0128,925,0,0
38,25,4.34224,950,0,0
39,25,3.17543,975,0,0
40,26,5.79257,1000,0,0
41,25,4.55187,1025,0,0
42,26,4.2302,1050,0,0
43,25,4.71167,1075,0,0
44,26,3.79094,1100,0,0
45,26,4.74043,1125,0,0
46,25,6.34546,1150,0,0
47,26,2.88849,1176,0,0
48,26,2.8477,1200,0,0
49,26,5.80685,1226,0,0
50,26,3.58662,1250,0,0
51,26,4.76501,1275,0,0
52,25,3.77964,1300,0,0
53,25,6.17117,1325,0,0
54,25,2.94007,1350,0,0
55,26,24.2542,1373,0,0
56,26,38.5482,1399,0,0
57,26,35.0929,1424,0,0
58,26,27.2731,1450,0,0
59,26,5.15928,1476,0,0
60,26,3.67335,1501,0,0
