t_s,fps,jitter_ms,completed,lost,corrupt
1,16,22.7796,16,3,0
2,10,61.5013,26,9,0
3,9,95.6992,27,15,0
4,1,0,28,33,0
5,4,203.009,31,36,0
6,4,203.009,31,47,0
7,16,16.7175,47,55,0
8,22,17.4307,67,57,0
9,19,12.4303,84,58,0
10,19,14.7534,103,58,0
11,20,12.2036,122,58,0
12,13,48.3064,134,62,0
13,17,31.3039,150,64,0
14,18,35.961,167,67,0
15,19,32.895,185,71,0
16,12,30.481,197,75,0
17,15,18.0762,212,78,0
18,18,19.7062,229,79,0
19,17,16.5397,245,81,0
20,16,20.1336,259,84,0
21,12,39.662,271,89,0
22,15,29.5999,285,93,0
23,6,191.46,289,93,0
24,6,191.46,289,103,0
25,2,18.926,291,115,0
26,19,24.0237,308,116,0
27,14,18.6106,321,116,0
28,12,56.8033,331,120,0
29,8,142.047,339,125,0
30,8,142.047,339,136,0
31,5,36.0015,344,147,0
32,5,134.568,345,150,0
33,5,134.568,345,159,0
34,1,0,346,172,0
35,3,106.904,348,176,0
36,3,106.904,348,184,0
37,9,16.1981,357,199,0
38,14,21.5272,371,203,0
39,21,14.4376,392,203,0
40,21,11.617,412,204,0
41,18,19.1547,421,206,0
42,12,77.8769,433,213,0
43,7,131.859,440,217,0
44,7,131.859,440,229,0
45,5,12.8582,445,241,0
46,11,91.2279,455,246,0
47,12,29.2485,465,249,0
48,2,248.115,466,253,0
49,2,248.115,466,263,0
50,3,57.1552,469,276,0
51,16,61.4486,485,280,0
52,11,21.1551,493,284,0
53,19,36.2648,512,287,0
54,11,78.9566,515,292,0
55,11,78.9566,515,300,0
56,1,0,516,317,0
57,6,159.752,522,320,0
58,6,159.752,522,327,0
59,4,10.3597,526,341,0
60,19,23.3719,545,341,0
