t_s,fps,jitter_ms,completed,lost,corrupt
1,17,12.5833,17,0,0
2,22,11.0978,38,0,0
3,22,9.41652,60,0,0
4,19,10.6316,76,0,0
5,22,10.228,98,0,0
6,19,11.8808,115,0,0
7,21,10.7884,136,1,0
8,17,12.5481,153,1,0
9,20,7.0483,173,1,0
10,16,9.09932,186,1,0
11,22,14.2565,208,3,0
12,19,10.9569,226,3,0
13,23,20.9715,247,4,0
14,14,10.5592,261,4,0
15,13,53.8851,274,8,0
16,17,10.7285,291,11,0
17,13,49.1048,303,16,0
18,8,124.382,305,22,0
19,14,32.3027,319,29,0
20,16,41.8581,335,31,0
21,18,56.3633,351,33,0
22,15,17.1847,366,35,0
23,12,22.3171,378,36,0
24,13,25.4432,391,39,0
25,18,7.76417,409,39,0
26,22,6.42038,430,39,0
27,16,16.3157,446,39,0
28,20,12.068,465,39,0
29,20,13.3641,485,39,0
30,19,10.9084,502,39,0
31,22,12.2961,524,40,0
32,20,10.5021,544,40,0
33,18,38.265,562,42,0
34,17,28.6056,579,45,0
35,21,17.3753,597,45,0
36,13,42.0369,610,47,0
37,16,10.7982,626,49,0
38,18,18.3087,644,49,0
39,17,37.1347,658,50,0
40,19,22.7023,677,51,0
41,18,15.528,695,52,0
42,24,10.4246,718,52,0
43,19,34.8213,737,53,0
44,16,29.0915,750,55,0
45,17,13.1432,767,55,0
46,14,29.0325,778,59,0
47,17,55.1267,795,64,0
48,22,17.8467,817,66,0
49,16,30.4421,833,68,0
50,19,17.6236,852,69,0
51,15,15.3123,867,69,0
52,16,17.6019,881,70,0
53,11,35.6901,892,77,0
54,14,33.2512,900,77,0
55,6,238.667,906,82,0
56,23,10.3544,929,83,0
57,15,15.9917,942,84,0
58,16,20.6824,958,86,0
59,16,36.1999,972,91,0
60,20,25.4212,992,95,0
