t_s,fps,jitter_ms,completed,lost,corrupt
1,15,27.1481,15,3,0
2,15,27.1481,15,14,0
3,7,39.4278,22,25,0
4,11,21.5775,33,28,0
5,14,41.9104,46,33,0
6,12,42.5444,56,38,0
7,17,16.7337,73,39,0
8,17,15.9378,90,43,0
9,11,122.63,99,44,0
10,7,171.795,103,47,0
11,1,0,104,48,0
12,1,0,104,60,0
13,1,0,104,72,0
14,13,15.7555,117,81,0
15,15,37.6937,119,85,0
16,1,0,120,93,0
17,1,0,120,96,0
18,1,0,120,108,0
19,6,33.6246,126,123,0
20,20,18.8047,144,124,0
21,13,69.2505,145,132,0
22,2,15.0155,147,144,0
23,20,15.8474,167,144,0
24,15,32.0398,181,147,0
25,18,25.6831,199,147,0
26,20,19.7812,219,149,0
27,16,29.6908,230,151,0
28,9,176.446,232,157,0
29,9,176.446,232,167,0
30,9,25.5563,241,177,0
31,5,222.252,242,181,0
32,5,222.252,242,191,0
33,5,222.252,242,200,0
34,5,222.252,242,209,0
35,5,222.252,242,216,0
36,5,222.252,242,223,0
37,5,222.252,242,226,0
38,5,222.252,242,233,0
39,5,222.252,242,237,0
40,5,222.252,242,256,0
41,5,222.252,242,266,0
42,5,222.252,242,272,0
43,5,222.252,242,283,0
44,1,0,243,297,0
45,11,29.8846,254,304,0
46,4,164.498,256,308,0
47,4,164.498,256,318,0
48,4,3.68073,260,333,0
49,12,13.7892,271,338,0
50,12,23.661,283,342,0
51,22,18.4733,295,342,0
52,10,82.6304,305,347,0
53,10,85.3582,315,353,0
54,8,78.892,318,360,0
55,8,78.892,318,364,0
56,8,78.892,318,374,0
57,8,78.892,318,385,0
58,8,78.892,318,398,0
59,8,78.892,318,406,0
60,8,78.892,318,419,0
61,8,78.892,318,428,0
